CompanyName,Codes
Ceenik Exports (india) Ltd.,531119
Ceeta Industries Ltd.,514171
Celebrity Fashions Ltd.,532695
Celestial Biolabs Limited,532871
Cenlub Industries Ltd.,522251
Centenial Surgical Suture Ltd.,531380
Centerac Technologies Ltd.,531621
Central Bank Of India,532885
Central Provinces Railways Co.ltd.,501827
Centron Industrial Alliance Ltd.,509499
Centrum Capital Ltd.,501150
Centum Electronics Ltd.,517544
Century Enka Ltd.,500280
Century Extrusions Ltd.,500083
Century Plyboards (i) Ltd.-$,532548
Century Textiles & Industries Ltd.,500040
Century Twentyfirst Portfolio Ltd.,530881
Cera Sanitaryware Ltd.,532443
Cerebra Integrated Technologies Ltd.,532413
Ces Limited,512341
Cesc Ltd.,500084
Cfl Capital Financial Services Ltd.,511272
Cg-vak Software & Exports Ltd.,531489
Chaman Lal Setia Exports Ltd.-$,530307
Chambal Breweries & Distilleries Ltd.,512301
Chambal Fertilisers & Chemicals Ltd.,500085
Champion Finsec Ltd.,504367
Chanakya Investments Ltd.,501270
Chandni Textiles Engineering Ind. Ltd,522292
Chandra Prabhu International Ltd.-$,530309
Channel Nine Entertainment Ltd.,535142
Charms Industries Ltd.,531327
Chartered Capital & Investment Ltd.,511696
Chartered Logistics Ltd.,531977
Chase Bright Steel Ltd.,504671
Chd Developers Ltd.-$,526917
Chembond Chemicals Ltd.-$,530871
Chemfab Alkalis Ltd.,506894
Chemiesynth (vapi) Ltd,539230
Chemo Pharma Laboratories Ltd.,506365
Chemtech Industrial Valves Ltd,537326
Chennai Ferrous Industries Ltd,539011
Chennai Meenakshi Multispeciality Hospital Ltd.-$,523489
Chennai Petroleum Corporation Ltd.,500110
Cheslind Textiles Ltd.,521056
Cheviot Co.ltd.-$,526817
Chhattisgarh Industries Ltd.,530495
Chitradurga Spintex Ltd.,521244
Chl Ltd.,532992
Choice International Ltd.,531358
Chokhani Securities Ltd.,511742
Choksi Imaging Ltd.,530427
Choksi Laboratories Ltd.,526546
Cholamandalam Investment And Finance Company Ltd,511243
Chordia Food Products Ltd.,519475
Chowgule Steamships Ltd.,501833
Chpl Industries Ltd,539335
Chromatic India Ltd.,530191
Cigniti Technologies Ltd.,534758
Cil Nova Petrochemicals Ltd.,533407
Cil Securities Ltd.,530829
Cimmco Ltd.,505230
Cindrella Financial Services Ltd.,531283
Cindrella Hotels Ltd.-$,526373
Cineline India Limited,532807
Cinemax India Ltd.,534711
Cinerad Communications Ltd.,530457
Cinevista Ltd.,532324
Cipla Ltd.,500087
Circuit Systems (india) Ltd.,532913
